Date,Open,High,Low,Close,Volume
2020-03-01 15:00:27.919653,302.4835707650562,308.5332421803573,296.43389934975505,302.78605433582123,9241353
2020-03-02 15:00:27.919653,299.4737850521173,305.46326075315966,293.48430935107496,299.7732588371694,6670706
2020-03-03 15:00:27.919653,303.5686296902261,309.64000228403063,297.49725709642155,303.87219831991627,5450252
2020-03-04 15:00:27.919653,308.1103644960175,314.2725717859378,301.94815720609716,308.41847486051347,9494630
2020-03-05 15:00:27.919653,299.48939822575454,305.4791861902696,293.49961026123947,299.78888762398026,6655635
2020-03-06 15:00:27.919653,299.65432578464714,305.6474123003401,293.6612392689542,299.95398011043176,5975045
2020-03-07 15:00:27.919653,308.88578963487066,315.0635054275681,302.70807384217323,309.1946754245055,1470529
2020-03-08 15:00:27.919653,304.99145766699417,311.09128682033406,298.89162851365427,305.29644912466114,1161445
2020-03-09 15:00:27.919653,298.971288019127,304.9507137795095,292.99186225874445,299.2702593071461,4834242
2020-03-10 15:00:27.919653,304.19562758031833,310.2795401319247,298.11171502871196,304.4998232078986,7494503
2020-03-11 15:00:27.919653,299.32967185981005,305.3162652970063,293.3430784226138,299.6290015316698,1684029
2020-03-12 15:00:27.919653,299.481784171748,305.471419855183,293.49214848831303,299.7812659559197,6337355
2020-03-13 15:00:27.919653,303.1836307231192,309.2473033375816,297.1199581086568,303.4868143538423,9898978
2020-03-14 15:00:27.919653,292.5704925876475,298.42190243940047,286.7190827358945,292.8630630802351,7981440
2020-03-15 15:00:27.919653,293.67504138313785,299.54854221080063,287.80154055547507,293.96871642452095,4999694
2020-03-16 15:00:27.919653,299.6505662565909,305.6435775817227,293.65755493145906,299.95021682284744,4308505
2020-03-17 15:00:27.919653,297.55983268266357,303.5110293363168,291.6086360290103,297.8573925153462,9201428
2020-03-18 15:00:27.919653,304.3567948291883,310.4439307257721,298.2696589326045,304.66115162401746,1208944
2020-03-19 15:00:27.919653,298.40656772531634,304.3746990798227,292.43843637081,298.70497429304163,6186686
2020-03-20 15:00:27.919653,296.0458342257232,301.96675091023764,290.12491754120873,296.3418800599489,8576472
2020-03-21 15:00:27.919653,310.59577062542826,316.80768603793683,304.3838552129197,310.90636639605367,2361303
2020-03-22 15:00:27.919653,302.29830356496655,308.3442696362659,296.2523374936672,302.6006018685315,5201765
2020-03-23 15:00:27.919653,303.9239435326027,310.0024224032548,297.84546466195064,304.2278674761353,8964443
2020-03-24 15:00:27.919653,296.62111319464196,302.5535354585348,290.68869093074915,296.91773430783655,3894100
